Name,Lev,Tm,VH,Opp,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS
T.J. Rivera,MLB-NL,New York,0,Atlanta,1,4,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Anthony Rizzo,MLB-NL,Chicago,0,Cincinnati,1,5,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Clint Robinson,MLB-NL,Washington,1,Miami,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Robinson,MLB-AL,Los Angeles,1,Texas,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Rodriguez,MLB-NL,Pittsburgh,1,Milwaukee,1,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0,0,0
Adam Rosales,MLB-NL,San Diego,0,Arizona,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alberto Rosario,MLB-NL,St. Louis,1,Colorado,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Ruiz,MLB-NL,Los Angeles,0,San Francisco,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Rupp,MLB-NL,Philadelphia,0,Chicago,1,4,4,0,2,1,0,0,2,0,0,1,0,0,0,0,0,0
Chris Rusin,MLB-NL,Colorado,0,St. Louis,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tyler Saladino,MLB-AL,Chicago,1,Philadelphia,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chris Sale,MLB-AL,Chicago,1,Philadelphia,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Sanchez,MLB-AL,New York,1,Tampa Bay,1,5,4,3,3,0,0,2,5,1,0,0,0,0,0,0,0,0
Hector Sanchez,MLB-NL,San Diego,0,Arizona,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Santana,MLB-AL,Cleveland,0,Kansas City,1,5,5,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0
Domingo Santana,MLB-NL,Milwaukee,0,Pittsburgh,1,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Luis Sardinas,MLB-NL,San Diego,0,Arizona,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Michael Saunders,MLB-AL,Toronto,1,Seattle,1,4,4,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
Scott Schebler,MLB-NL,Cincinnati,1,Chicago,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Scherzer,MLB-NL,Washington,1,Miami,1,3,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
Ryan Schimpf,MLB-NL,San Diego,0,Arizona,1,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Jonathan Schoop,MLB-AL,Baltimore,0,Boston,1,4,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Xavier Scruggs,MLB-NL,Miami,0,Washington,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Seager,MLB-NL,Los Angeles,0,San Francisco,1,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
Kyle Seager,MLB-AL,Seattle,0,Toronto,1,5,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Rob Segedin,MLB-NL,Los Angeles,0,San Francisco,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean Segura,MLB-NL,Arizona,1,San Diego,1,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Selsky,MLB-NL,Cincinnati,1,Chicago,1,4,4,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0
