Date,VH,Team,Pitcher,Open
2017-04-12,H,SFO,MCAIN-R,-131
2017-04-12,V,MIN,KGIBSON-R,141
2017-04-12,H,DET,MFULMER-R,-156
2017-04-12,V,CWS,DHOLLAND-L,211
2017-04-12,H,CLE,DSALAZAR-R,-241
2017-04-12,V,TAM,BSNELL-L,111
2017-04-12,H,NYY,JMONTGOMERY-L,-126
2017-04-12,V,BAL,UJIMENEZ-R,136
2017-04-12,H,BOS,SWRIGHT-R,-151
2017-04-12,V,OAK,ATRIGGS-R,111
2017-04-12,H,KAN,JHAMMEL-R,-121
2017-04-12,V,TEX,AGRIFFIN-R,121
2017-04-12,H,LAA,JCHAVEZ-R,-136
2017-04-12,V,HOU,MFIERS-R,-121
2017-04-12,H,SEA,YGALLARDO-R,111
2017-04-12,V,MIL,CANDERSON-R,171
2017-04-12,H,TOR,MSTROMAN-R,-191
2017-04-13,V,NYM,RGSELLMAN-R,115
2017-04-13,H,MIA,WCHEN-L,-130
2017-04-13,V,LOS,HRYU-L,125
2017-04-13,H,CUB,BANDERSON-L,-140
2017-04-13,V,MIL,JNELSON-R,105
2017-04-13,H,CIN,BARROYO-R,-115
2017-04-13,V,COL,JGRAY-R,160
2017-04-13,H,SFO,MBUMGARNER-L,-180
2017-04-13,V,CWS,MGONZALEZ-R,175
2017-04-13,H,CLE,JTOMLIN-R,-200
2017-04-13,V,MIN,PHUGHES-R,135
2017-04-13,H,DET,JZIMMERMANN-R,-150
2017-04-13,V,TEX,YDARVISH-R,-125
2017-04-13,H,LAA,RNOLASCO-R,110
2017-04-13,V,TAM,MANDRIESE-R,115
2017-04-13,H,NYY,LSEVERINO-R,-130
2017-04-13,V,BAL,KGAUSMAN-R,105
2017-04-13,H,TOR,FLIRIANO-L,-115
2017-04-13,V,OAK,JHAHN-R,115
2017-04-13,H,KAN,JVARGAS-L,-130
2017-04-13,V,PIT,CKUHL-R,135
2017-04-13,H,BOS,ERODRIGUEZ-L,-150
2017-04-14,V,PIT,GCOLE-R,155
2017-04-14,H,CUB,KHENDRICKS-R,-175
2017-04-14,V,NYM,NSYNDERGAARD-R,-140
2017-04-14,H,MIA,EVOLQUEZ-R,125
2017-04-14,V,PHI,ANOLA-R,185
2017-04-14,H,WAS,SSTRASBURG-R,-210
2017-04-14,V,SDG,JCHACIN-R,140
2017-04-14,H,ATL,JTEHERAN-R,-155
2017-04-14,V,MIL,TMILONE-L,125
2017-04-14,H,CIN,SFELDMAN-R,-140
2017-04-14,V,ARI,ZGREINKE-R,195
2017-04-14,H,LOS,CKERSHAW-L,-220
2017-04-14,V,COL,TANDERSON-L,140
2017-04-14,H,SFO,JCUETO-R,-160
2017-04-14,V,DET,DNORRIS-L,115
2017-04-14,H,CLE,TBAUER-R,-130
2017-04-14,V,BAL,WMILEY-L,140
2017-04-14,H,TOR,ASANCHEZ-R,-155
2017-04-14,V,TAM,CARCHER-R,130
2017-04-14,H,BOS,RPORCELLO-R,-145
2017-04-14,V,CWS,DCOVEY-R,120
2017-04-14,H,MIN,AMEJIA-L,-135
2017-04-14,V,LAA,JRAMIREZ-R,140
2017-04-14,H,KAN,DDUFFY-L,-155
2017-04-14,V,HOU,DKEUCHEL-L,-135
2017-04-14,H,OAK,KGRAVEMAN-R,120
2017-04-14,V,TEX,MPEREZ-L,130
2017-04-14,H,SEA,FHERNANDEZ-R,-145
2017-04-14,V,STL,MWACHA-R,115
2017-04-14,H,NYY,MTANAKA-R,-130
2017-04-15,V,NYM,JDEGROM-R,-140
2017-04-15,H,MIA,ACONLEY-L,125
2017-04-15,V,PHI,JHELLICKSON-R,140
2017-04-15,H,WAS,TROARK-R,-160
2017-04-15,V,MIL,ZDAVIES-R,125
2017-04-15,H,CIN,BFINNEGAN-L,-140
2017-04-15,V,PIT,TGLASNOW-R,230
2017-04-15,H,CUB,JARRIETA-R,-260
2017-04-15,V,COL,TCHATWOOD-R,110
2017-04-15,H,SFO,MMOORE-L,-125
2017-04-15,V,SDG,CRICHARD-L,110
2017-04-15,H,ATL,RDICKEY-R,-125
2017-04-15,V,ARI,PCORBIN-L,150
2017-04-15,H,LOS,KMAEDA-R,-170
2017-04-15,V,DET,JVERLANDER-R,130
2017-04-15,H,CLE,CKLUBER-R,-145
2017-04-15,V,BAL,AASHER-R,130
2017-04-15,H,TOR,MESTRADA-R,-145
2017-04-15,V,LAA,MSHOEMAKER-R,-104
2017-04-15,H,KAN,NKARNS-R,-106
2017-04-15,V,CWS,JQUINTANA-L,125
2017-04-15,H,MIN,ESANTANA-R,-140
2017-04-15,V,TAM,JODORIZZI-R,175
2017-04-15,H,BOS,CSALE-L,-200
2017-04-15,V,HOU,LMCCULLERS-R,-145
2017-04-15,H,OAK,SMANAEA-L,130
2017-04-15,V,TEX,ACASHNER-R,150
2017-04-15,H,SEA,JPAXTON-L,-170
2017-04-15,V,STL,CMARTINEZ-R,110
2017-04-15,H,NYY,CSABATHIA-L,-120
2017-04-16,V,NYM,MHARVEY-R,-135
2017-04-16,H,MIA,DSTRAILY-R,120
2017-04-16,V,PHI,JEICKHOFF-R,145
2017-04-16,H,WAS,GGONZALEZ-L,-165
2017-04-16,V,MIL,WPERALTA-R,-102
2017-04-16,H,CIN,SROMANO-R,-108
2017-04-16,V,SDG,TCAHILL-R,120
2017-04-16,H,ATL,BCOLON-R,-135
2017-04-16,V,PIT,JTAILLON-R,155
2017-04-16,H,CUB,JLESTER-L,-175
2017-04-16,V,COL,ASENZATELA-R,110
2017-04-16,H,SFO,JSAMARDZIJA-R,-125
2017-04-16,V,ARI,TWALKER-R,165
2017-04-16,H,LOS,RHILL-L,-185
2017-04-16,V,DET,MBOYD-L,160
2017-04-16,H,CLE,CCARRASCO-R,-180
2017-04-16,V,BAL,DBUNDY-R,114
2017-04-16,H,TOR,JHAPP-L,-124
2017-04-16,V,LAA,TSKAGGS-L,110
2017-04-16,H,KAN,IKENNEDY-R,-120
2017-04-16,V,TAM,ACOBB-R,130
2017-04-16,H,BOS,DPOMERANZ-L,-145
2017-04-16,V,TEX,CHAMELS-L,-120
2017-04-16,H,SEA,HIWAKUMA-R,110
2017-04-16,V,CWS,JSHIELDS-R,125
2017-04-16,H,MIN,HSANTIAGO-L,-140
2017-04-16,V,STL,AWAINWRIGHT-R,115
2017-04-16,H,NYY,MPINEDA-R,-130
2017-04-17,V,PIT,INOVA-R,115
2017-04-17,H,STL,LLYNN-R,-130
2017-04-17,V,SDG,JWEAVER-R,130
2017-04-17,H,ATL,JGARCIA-L,-145
2017-04-17,V,MIL,CANDERSON-R,160
2017-04-17,H,CUB,JLACKEY-R,-180
2017-04-17,V,ARI,RRAY-L,145
2017-04-17,H,LOS,BMCCARTHY-R,-165
2017-04-17,V,TAM,BSNELL-L,130
2017-04-17,H,BOS,SWRIGHT-R,-145
2017-04-17,V,CWS,DHOLLAND-L,130
2017-04-17,H,NYY,JMONTGOMERY-L,-145
2017-04-17,V,CLE,DSALAZAR-R,-145
2017-04-17,H,MIN,KGIBSON-R,130
2017-04-17,V,LAA,JCHAVEZ-R,125
2017-04-17,H,HOU,CMORTON-R,-140
2017-04-17,V,TEX,AGRIFFIN-R,120
2017-04-17,H,OAK,JCOTTON-R,-135
2017-04-17,V,MIA,TKOEHLER-R,110
2017-04-17,H,SEA,AMIRANDA-L,-125
2017-04-18,V,WAS,MSCHERZER-R,-160
2017-04-18,H,ATL,MFOLTYNEWICZ-R,140
2017-04-18,V,PHI,ZEFLIN-R,140
2017-04-18,H,NYM,ZWHEELER-R,-155
2017-04-18,V,MIL,JNELSON-R,162
2017-04-18,H,CUB,BANDERSON-L,-182
2017-04-18,V,PIT,CKUHL-R,115
2017-04-18,H,STL,MLEAKE-R,-130
2017-04-18,V,ARI,SMILLER-R,-102
2017-04-18,H,SDG,JCOSART-R,-108
2017-04-18,V,COL,KFREELAND-L,145
2017-04-18,H,LOS,HRYU-L,-165
2017-04-18,V,CWS,MGONZALEZ-R,140
2017-04-18,H,NYY,LSEVERINO-R,-155
2017-04-18,V,BOS,BJOHNSON-L,140
2017-04-18,H,TOR,MSTROMAN-R,-155
2017-04-18,V,DET,MFULMER-R,-116
2017-04-18,H,TAM,MANDRIESE-R,106
2017-04-18,V,LAA,RNOLASCO-R,145
2017-04-18,H,HOU,JMUSGROVE-R,-165
2017-04-18,V,CLE,JTOMLIN-R,-115
2017-04-18,H,MIN,PHUGHES-R,105
2017-04-18,V,TEX,YDARVISH-R,-120
2017-04-18,H,OAK,ATRIGGS-R,110
2017-04-18,V,BAL,KGAUSMAN-R,-155
2017-04-18,H,CIN,BARROYO-R,140
2017-04-18,V,SFO,MCAIN-R,110
2017-04-18,H,KAN,JHAMMEL-R,-125
2017-04-18,V,MIA,WCHEN-L,105
2017-04-18,H,SEA,YGALLARDO-R,-115
2017-04-19,V,PIT,GCOLE-R,104
2017-04-19,H,STL,MWACHA-R,-114
2017-04-19,V,MIL,TMILONE-L,185
2017-04-19,H,CUB,KHENDRICKS-R,-210
2017-04-19,V,PHI,VVELASQUEZ-R,116
2017-04-19,H,NYM,RGSELLMAN-R,-131
2017-04-19,V,WAS,JROSS-R,102
2017-04-19,H,ATL,JTEHERAN-R,-112
2017-04-19,V,ARI,ZGREINKE-R,-135
2017-04-19,H,SDG,JCHACIN-R,120
2017-04-19,V,COL,TANDERSON-L,290
2017-04-19,H,LOS,CKERSHAW-L,-335
2017-04-19,V,TEX,MPEREZ-L,-103
2017-04-19,H,OAK,JHAHN-R,-107
2017-04-19,V,BOS,RPORCELLO-R,-110
2017-04-19,H,TOR,FLIRIANO-L,100
2017-04-19,V,CWS,DCOVEY-R,175
2017-04-19,H,NYY,MTANAKA-R,-200
2017-04-19,V,DET,JZIMMERMANN-R,147
