Date,Team,PITCHER
2019-04-12,COL,Bettis
2019-04-12,SFO,Pomeranz
2019-04-12,CWS,Giolito
2019-04-12,NYY,Happ
2019-04-12,TAM,Stanek
2019-04-12,TOR,Thornton
2019-04-12,BAL,Hess
2019-04-12,BOS,Rodriguez
2019-04-12,OAK,Fiers
2019-04-12,TEX,Smyly
2019-04-12,CLE,Carrasco
2019-04-12,KAN,Keller
2019-04-12,HOU,Miley
2019-04-12,SEA,Leblanc
2019-04-12,LAA,Skaggs
2019-04-12,CUB,Hamels
2019-04-13,PIT,Archer
2019-04-13,WAS,Sanchez
2019-04-13,COL,Freeland
2019-04-13,SFO,Bumgarner
2019-04-13,PHI,Eflin
2019-04-13,MIA,Smith
2019-04-13,STL,Wainwright
2019-04-13,CIN,Roark
2019-04-13,NYM,Vargas
2019-04-13,ATL,Newcomb
2019-04-13,SDG,Strahm
2019-04-13,ARI,Kelly
2019-04-13,MIL,Davies
2019-04-13,LAD,Ferguson
2019-04-13,CWS,Nova
2019-04-13,NYY,Sabathia
2019-04-13,BAL,Cashner
2019-04-13,BOS,Porcello
2019-04-13,DET,Ross
2019-04-13,MIN,Pineda
2019-04-13,TAM,Snell
2019-04-13,TOR,Buchholz
2019-04-13,CLE,Rodriguez
2019-04-13,KAN,Bailey
2019-04-13,HOU,Verlander
2019-04-13,SEA,Hernandez
2019-04-13,LAA,Stratton
2019-04-13,CUB,Hendricks
2019-04-14,PHI,Velasquez
2019-04-14,MIA,Urena
2019-04-14,PIT,Taillon
2019-04-14,WAS,Scherzer
2019-04-14,STL,Mikolas
2019-04-14,CIN,Desclafani
2019-04-14,COL,Marquez
2019-04-14,SFO,Holland
2019-04-14,SDG,Lauer
2019-04-14,ARI,Greinke
2019-04-14,MIL,Chacin
2019-04-14,LAD,Stripling
2019-04-14,NYM,Degrom
2019-04-14,ATL,Teheran
2019-04-14,CWS,Rodon
2019-04-14,NYY,Tanaka
2019-04-14,BAL,Means
2019-04-14,BOS,Price
2019-04-14,TAM,Morton
2019-04-14,TOR,Stroman
2019-04-14,DET,Zimmermann
2019-04-14,MIN,Berrios
2019-04-14,CLE,Kluber
2019-04-14,KAN,Junis
2019-04-14,OAK,Anderson
2019-04-14,TEX,Sampson
2019-04-14,HOU,Cole
2019-04-14,SEA,Gonzales
2019-04-15,NYM,Syndergaard
2019-04-15,PHI,Nola
